Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
81;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,1,1,0,1,1;0.19448%
82;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,1,1,1,0,1;0.03572%
83;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,0,0,1,1,0;0.0%
84;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,0,1,0,1,0;0.0%
85;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,0,1,1,0,0;0.0%
86;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,1,0,0,1,0;0.0%
87;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,1,0,1,0,0;0.0%
88;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,1,1,0,0,0;0.0%
89;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,0,1,1,1,1,1;0.19448%
90;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;1,0,1,0,0,0,1,0;0.0%
91;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,1,0,0,1,0,0;0.0%
92;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,1,0,1,0,0,0;0.0%
93;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,0,1,1,1,1;1.05884%
94;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,1,1,0,0,0,0;0.0%
95;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,1,0,1,1,1;0.19448%
96;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,1,1,0,1,1;1.05884%
97;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,1,1,1,0,1;0.19448%
98;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;1,1,0,0,0,0,1,0;0.0%
99;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,1,0,0,0,1,0,0;0.0%
100;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,1,0,0,1,0,0,0;0.0%
101;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,0,1,1,1,1;0.19448%
102;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,1,0,1,0,0,0,0;0.0%
103;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,1,0,1,1,1;0.03572%
104;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,1,1,0,1,1;0.19448%
105;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,1,1,1,0,1;0.03572%
106;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,1,1,0,0,0,0,0;0.0%
107;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,0,0,1,1,1;0.19448%
108;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,0,1,0,1,1;1.05884%
109;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,0,1,1,0,1;0.19448%
110;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,1,0,0,1,1;0.19448%
111;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,1,0,1,0,1;0.03572%
112;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,1,1,0,0,1;0.19448%
113;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,0,0,1,1,0;0.00%
114;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,0,1,0,1,0;0.00%
115;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,0,1,1,0,0;0.00%
116;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,1,0,0,1,0;0.00%
117;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,1,0,1,0,0;0.00%
118;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,1,1,0,0,0;0.00%
119;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,0,0,1,1,1,1,1;0.00%
