Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
264;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;1,1,0,0,1,0,0,1,0;0.00%
265;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;1,1,0,0,1,0,1,0,0;0.00%
266;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;1,1,0,0,1,0,1,1,1;0.00%
267;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,1,0,0,1,1,0,0,0;0.00%
268;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,1,0,0,1,1,0,1,1;0.00%
269;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,0,0,1,1,1,0,1;0.00%
270;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;1,1,0,1,0,0,0,1,0;0.00%
271;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;1,1,0,1,0,0,1,0,0;0.00%
272;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;1,1,0,1,0,0,1,1,1;0.00%
273;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,1,0,1,0,1,0,0,0;0.00%
274;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,1,0,1,0,1,0,1,1;0.00%
275;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,0,1,0,1,1,0,1;0.00%
276;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,1,0,1,1,0,0,0,0;0.00%
277;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,1,0,1,1,0,0,1,1;0.00%
278;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,0,1,1,0,1,0,1;0.00%
279;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,0,1,1,1,0,0,1;0.00%
280;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;1,1,1,0,0,0,0,1,0;0.00%
281;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;1,1,1,0,0,0,1,0,0;0.00%
282;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;1,1,1,0,0,0,1,1,1;0.00%
283;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,1,1,0,0,1,0,0,0;0.00%
284;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,1,1,0,0,1,0,1,1;0.00%
285;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,1,0,0,1,1,0,1;0.00%
286;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,1,1,0,1,0,0,0,0;0.00%
287;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,1,1,0,1,0,0,1,1;0.00%
288;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,1,0,1,0,1,0,1;0.00%
289;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,1,0,1,1,0,0,1;0.00%
290;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,1,1,1,0,0,0,0,0;0.00%
291;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,1,1,1,0,0,0,1,1;0.00%
292;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,1,1,0,0,1,0,1;0.00%
293;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,1,1,0,1,0,0,1;0.00%
294;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;1,1,1,1,1,0,0,0,1;0.00%
295;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,0,0,1,1,1,0;0.0%
296;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,0,1,0,1,1,0;0.0%
297;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,0,1,1,0,1,0;0.0%
298;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,0,0,1,1,1,0,0;0.0%
299;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,0,0,1,1,1,1,1;0.13614%
300;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,0,0,1,1,0;0.0%
301;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,0,1,0,1,0;0.0%
302;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,0,1,1,0,0;0.0%
303;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,0,1,0,1,1,1,1;0.025%
304;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,1,0,0,1,0;0.0%
305;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,1,0,1,0,0;0.0%
306;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,0,1,1,0,1,1,1;0.13614%
307;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,1,1,0,0,0;0.0%
308;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,0,1,1,1,0,1,1;0.025%
309;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,0,0,1,1,1,1,0,1;0.13614%
310;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,0,0,1,1,0;0.0%
311;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,0,1,0,1,0;0.0%
