Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence
153;1;1;0;1;0;1;0.0;1.0;1.0;;;;;6;3;Ganado;0,1,0,1,1
154;1;1;0;1;0;1;1.0;0.0;1.0;;;;;6;3;Ganado;0,1,1,0,1
155;1;1;0;1;1;0;0.0;1.0;1.0;;;;;6;3;Ganado;1,0,0,1,1
156;1;1;0;1;1;0;1.0;0.0;1.0;;;;;6;3;Ganado;1,0,1,0,1
157;1;1;0;1;1;1;0.0;0.0;1.0;;;;;6;3;Ganado;1,1,0,0,1
158;1;1;1;0;0;0;0.0;0.0;0.0;;;;;3;6;Perdido;0,0,0,0,0
159;1;1;1;0;0;0;1.0;1.0;1.0;;;;;6;3;Ganado;0,0,1,1,1
160;1;1;1;0;0;1;0.0;1.0;1.0;;;;;6;3;Ganado;0,1,0,1,1
161;1;1;1;0;0;1;1.0;0.0;1.0;;;;;6;3;Ganado;0,1,1,0,1
162;1;1;1;0;1;0;0.0;1.0;1.0;;;;;6;3;Ganado;1,0,0,1,1
163;1;1;1;0;1;0;1.0;0.0;1.0;;;;;6;3;Ganado;1,0,1,0,1
164;1;1;1;0;1;1;0.0;0.0;1.0;;;;;6;3;Ganado;1,1,0,0,1
165;1;1;1;1;0;0;0.0;1.0;1.0;;;;;6;3;Ganado;0,0,0,1,1
166;1;1;1;1;0;0;1.0;0.0;1.0;;;;;6;3;Ganado;0,0,1,0,1
167;1;1;1;1;0;1;0.0;0.0;1.0;;;;;6;3;Ganado;0,1,0,0,1
168;1;1;1;1;1;0;0.0;0.0;1.0;;;;;6;3;Ganado;1,0,0,0,1
169;0;0;0;0;0;1;1.0;1.0;1.0;0.0;;;;4;6;Perdido;0,1,1,1,1,0
170;0;0;0;0;1;0;1.0;1.0;1.0;0.0;;;;4;6;Perdido;1,0,1,1,1,0
171;0;0;0;0;1;1;0.0;1.0;1.0;0.0;;;;4;6;Perdido;1,1,0,1,1,0
172;0;0;0;0;1;1;1.0;0.0;1.0;0.0;;;;4;6;Perdido;1,1,1,0,1,0
173;0;0;0;0;1;1;1.0;1.0;0.0;0.0;;;;4;6;Perdido;1,1,1,1,0,0
174;0;0;0;0;1;1;1.0;1.0;1.0;1.0;;;;6;4;Ganado;1,1,1,1,1,1
175;0;0;0;1;0;0;1.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,1,1,1,0
176;0;0;0;1;0;1;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,1,0,1,1,0
