Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status
134;1;0;1;0;1;1;0;1;1;;;;;6;3;Ganado
135;1;0;1;0;1;1;1;0;1;;;;;6;3;Ganado
136;1;0;1;1;0;0;0;0;0;;;;;3;6;Perdido
137;1;0;1;1;0;0;1;1;1;;;;;6;3;Ganado
138;1;0;1;1;0;1;0;1;1;;;;;6;3;Ganado
139;1;0;1;1;0;1;1;0;1;;;;;6;3;Ganado
140;1;0;1;1;1;0;0;1;1;;;;;6;3;Ganado
141;1;0;1;1;1;0;1;0;1;;;;;6;3;Ganado
142;1;0;1;1;1;1;0;0;1;;;;;6;3;Ganado
143;1;1;0;0;0;0;0;1;0;;;;;3;6;Perdido
144;1;1;0;0;0;0;1;0;0;;;;;3;6;Perdido
145;1;1;0;0;0;1;0;0;0;;;;;3;6;Perdido
146;1;1;0;0;0;1;1;1;1;;;;;6;3;Ganado
147;1;1;0;0;1;0;0;0;0;;;;;3;6;Perdido
148;1;1;0;0;1;0;1;1;1;;;;;6;3;Ganado
149;1;1;0;0;1;1;0;1;1;;;;;6;3;Ganado
150;1;1;0;0;1;1;1;0;1;;;;;6;3;Ganado
151;1;1;0;1;0;0;0;0;0;;;;;3;6;Perdido
152;1;1;0;1;0;0;1;1;1;;;;;6;3;Ganado
153;1;1;0;1;0;1;0;1;1;;;;;6;3;Ganado
154;1;1;0;1;0;1;1;0;1;;;;;6;3;Ganado
155;1;1;0;1;1;0;0;1;1;;;;;6;3;Ganado
156;1;1;0;1;1;0;1;0;1;;;;;6;3;Ganado
157;1;1;0;1;1;1;0;0;1;;;;;6;3;Ganado
158;1;1;1;0;0;0;0;0;0;;;;;3;6;Perdido
159;1;1;1;0;0;0;1;1;1;;;;;6;3;Ganado
160;1;1;1;0;0;1;0;1;1;;;;;6;3;Ganado
161;1;1;1;0;0;1;1;0;1;;;;;6;3;Ganado
162;1;1;1;0;1;0;0;1;1;;;;;6;3;Ganado
163;1;1;1;0;1;0;1;0;1;;;;;6;3;Ganado
164;1;1;1;0;1;1;0;0;1;;;;;6;3;Ganado
165;1;1;1;1;0;0;0;1;1;;;;;6;3;Ganado
166;1;1;1;1;0;0;1;0;1;;;;;6;3;Ganado
167;1;1;1;1;0;1;0;0;1;;;;;6;3;Ganado
168;1;1;1;1;1;0;0;0;1;;;;;6;3;Ganado
169;0;0;0;0;0;1;1;1;1;0;;;;4;6;Perdido
170;0;0;0;0;1;0;1;1;1;0;;;;4;6;Perdido
171;0;0;0;0;1;1;0;1;1;0;;;;4;6;Perdido
172;0;0;0;0;1;1;1;0;1;0;;;;4;6;Perdido
173;0;0;0;0;1;1;1;1;0;0;;;;4;6;Perdido
174;0;0;0;0;1;1;1;1;1;1;;;;6;4;Ganado
175;0;0;0;1;0;0;1;1;1;0;;;;4;6;Perdido
176;0;0;0;1;0;1;0;1;1;0;;;;4;6;Perdido
177;0;0;0;1;0;1;1;0;1;0;;;;4;6;Perdido
178;0;0;0;1;0;1;1;1;0;0;;;;4;6;Perdido
179;0;0;0;1;0;1;1;1;1;1;;;;6;4;Ganado
180;0;0;0;1;1;0;0;1;1;0;;;;4;6;Perdido
