J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;W/L;Prob_Acumulada
0.75;0.25;0.75;0.25;0.75;0.75;0.25;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.25;0.25;0.25;0.25;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.25;0.25;0.75;0.75;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.25;0.25;0.75;0.25;0.25;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.25;0.25;0.75;0.25;0.75;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.25;0.25;0.75;0.25;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.00023174285888671875
0.75;0.25;0.75;0.75;0.75;0.25;0.25;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.75;0.75;0.75;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.75;0.75;0.25;0.25;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.75;0.75;0.25;0.75;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.75;0.75;0.25;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.0020856857299804688
0.75;0.25;0.75;0.75;0.25;0.25;0.75;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.25;0.25;0.25;0.75;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.25;0.25;0.25;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.00023174285888671875
0.75;0.25;0.75;0.75;0.25;0.75;0.75;0.25;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.25;0.75;0.75;0.75;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.25;0.75;0.75;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.0020856857299804688
0.75;0.25;0.75;0.75;0.25;0.75;0.25;0.25;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.75;0.75;0.25;0.75;0.25;0.25;0.25;0.75;1.0;1.0;1.0;1.0;0.00023174285888671875
0.75;0.25;0.75;0.75;0.25;0.75;0.25;0.75;0.75;0.75;1.0;1.0;1.0;1.0;0.0020856857299804688
0.75;0.25;0.25;0.25;0.75;0.25;0.25;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.75;0.75;0.75;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.75;0.75;0.25;0.25;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.75;0.75;0.25;0.75;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.75;0.75;0.25;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.00023174285888671875
0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.25;0.25;0.25;0.75;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.25;0.25;0.25;0.75;0.25;0.75;1.0;1.0;1.0;1.0;2.574920654296875e-05
0.75;0.25;0.25;0.25;0.25;0.75;0.75;0.25;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.25;0.75;0.75;0.75;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.25;0.75;0.75;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.00023174285888671875
0.75;0.25;0.25;0.25;0.25;0.75;0.25;0.25;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.25;0.25;0.75;0.25;0.25;0.25;0.75;1.0;1.0;1.0;1.0;2.574920654296875e-05
0.75;0.25;0.25;0.25;0.25;0.75;0.25;0.75;0.75;0.75;1.0;1.0;1.0;1.0;0.00023174285888671875
0.75;0.25;0.25;0.75;0.75;0.25;0.75;0.75;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.75;0.75;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.75;0.75;0.25;0.25;0.75;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.75;0.75;0.25;0.25;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.00023174285888671875
0.75;0.25;0.25;0.75;0.75;0.75;0.75;0.25;0.25;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.75;0.75;0.75;0.75;0.75;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.75;0.75;0.75;0.75;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.0020856857299804688
0.75;0.25;0.25;0.75;0.75;0.75;0.25;0.25;0.75;0.25;1.0;1.0;1.0;0.0;0.0
0.75;0.25;0.25;0.75;0.75;0.75;0.25;0.25;0.25;0.75;1.0;1.0;1.0;1.0;0.00023174285888671875
